index,decl,num,ref,delta10
2,-23,111,AGK A135,16
6,-24,376,AGK A415,37
7,-25,338,AGK A420,25
10,-26,357,AGK A519,11
12,-23,473,AGK A607,12
20,-26,996,AGK A1241,18
23,-22,1054,AGK A1432,28
24,-26,1159,AGK A1460,11
29,-23,1600,AGK A1796,19
32,-23,1810,AGK A1978,15
40,-25,2601,AGK A2888,10
44,-22,2917,AGK A3436,29
47,-23,3991,AGK A3720,15
48,-23,4144,AGK A3834,10
49,-24,4356,AGK A3928,12
52,-24,4559,AGK A4142,11
53,-25,3773,AGK A4165,12
54,-24,4639,AGK A4211,13
57,-25,4005,AGK A4419,10
59,-24,4940,AGK A4532,10
60,-23,5189,AGK A4680,11
62,-22,4587,AGK A5026,10
64,-23,5768,AGK A5173,11
65,-26,4707,AGK A5248,30
66,-26,4707,AGK A5249,20
68,-25,5218,AGK A5636,13
72,-23,7143,AGK A6239,12
75,-23,7902,AGK A6886,25
77,-26,7150,AGK A7403,10
78,-24,8247,AGK A7480,11
79,-22,7542,AGK A7603,11
80,-26,7412,AGK A7641,25
85,-23,9206,AGK A8107,17
86,-23,9206,AGK A8108,12
87,-23,9296,AGK A8191,16
89,-23,9699,AGK A8596,10
92,-23,10009,AGK A8851,31
93,-24,9859,AGK A8921,11
94,-22,9051,AGK A8935,13
95,-25,8842,AGK A8978,10
96,-23,10247,AGK A9054,12
97,-26,8903,AGK A9112,10
98,-26,8908,AGK A9123,14
99,-22,9344,AGK A9270,23
107,-25,9900,AGK A9993,22
109,-24,11477,AGK A10419,13
110,-24,11523,AGK A10459,16
114,-24,11661,AGK A10612,33
117,-24,12155,AGK A11020,13
120,-24,12481,AGK A11277,21
121,-23,12700,AGK A11314,29
123,-25,11485,AGK A11444,55
124,-23,12861,AGK A11474,25
125,-24,12857,AGK A11633,10
126,-26,11875,AGK A11809,12
127,-24,13255,AGK A11941,27
135,-25,13320,AGK A12952,10
136,-22,13399,AGK A13128,10
138,-25,13770,AGK A13301,28
140,-26,14337,AGK A13642,13
141,-26,14336,AGK A13643,20
142,-26,14362,AGK A13662,10
148,-25,15489,AGK A14822,11
149,-24,16860,AGK A14953,11
164,-30,478,AGK B513,20
177,-30,815,AGK B890,12
182,-30,909,AGK B963,12
183,-28,819,AGK B986,35
184,-28,875,AGK B1059,21
187,-30,1719,AGK B1717,17
188,-31,2902,AGK B2689,12
189,-31,2902,AGK B2690,12
190,-31,3407,AGK B3060,32
192,-29,3225,AGK B3085,14
193,-30,3505,AGK B3253,27
194,-27,3353,AGK B3373,10
196,-30,3757,AGK B3474,26
199,-31,4265,AGK B3811,11
201,-31,4590,AGK B4062,11
203,-31,5025,AGK B4391,11
204,-30,5059,AGK B4406,10
205,-30,5275,AGK B4566,25
208,-29,5319,AGK B4663,12
209,-27,4894,AGK B4714,16
211,-31,5979,AGK B5056,10
213,-27,5678,AGK B5291,12
214,-27,5879,AGK B5465,19
215,-27,5927,AGK B5492,14
216,-29,6965,AGK B5658,11
218,-31,6914,AGK B5797,16
219,-29,7194,AGK B5861,31
220,-27,6338,AGK B5879,10
221,-27,6441,AGK B5962,11
222,-27,6476,AGK B6007,12
223,-31,7162,AGK B6023,16
224,-31,7355,AGK B6178,29
225,-31,7355,AGK B6179,27
227,-31,8303,AGK B6935,13
228,-27,7546,AGK B6976,13
230,-28,8688,AGK B7359,11
234,-27,8914,AGK B8256,20
237,-31,10757,AGK B8813,19
245,-27,10836,AGK B10154,16
247,-29,12513,AGK B10264,11
249,-27,11284,AGK B10649,10
251,-30,14802,AGK B11359,14
253,-30,15035,AGK B11512,35
258,-27,14004,AGK B12757,30
260,-30,17446,AGK B13051,13
261,-31,17271,AGK B13180,12
263,-27,15024,AGK B13669,14
267,-31,18597,AGK B14354,10
268,-27,15932,AGK B14548,30
272,-35,170,AGK C149,24
274,-34,411,AGK C282,34
275,-33,525,AGK C389,26
283,-36,1310,AGK C931,32
287,-34,1626,AGK C1221,24
300,-34,2810,AGK C2109,34
302,-32,3074,AGK C2186,19
305,-36,3227,AGK C2442,10
306,-35,3243,AGK C2475,18
307,-33,3402,AGK C2490,27
311,-34,3327,AGK C2554,10
312,-34,3327,AGK C2555,24
316,-35,3551,AGK C2773,11
317,-35,3727,AGK C2969,13
319,-35,4030,AGK C3221,12
320,-36,4102,AGK C3288,13
322,-33,4525,AGK C3369,26
323,-36,4196,AGK C3376,12
325,-36,4291,AGK C3456,40
329,-34,4842,AGK C3737,29
330,-36,4731,AGK C3795,15
331,-34,5222,AGK C3957,15
333,-35,5098,AGK C4025,28
335,-34,5657,AGK C4269,11
336,-33,5953,AGK C4342,19
337,-34,5905,AGK C4458,20
338,-35,5778,AGK C4506,18
340,-34,6170,AGK C4644,10
341,-34,6170,AGK C4645,10
344,-32,7252,AGK C5004,17
348,-36,6562,AGK C5201,34
358,-32,8199,AGK C5837,29
359,-35,7566,AGK C6056,12
360,-36,7586,AGK C6092,10
363,-32,8503,AGK C6156,21
365,-33,8233,AGK C6221,10
368,-34,8456,AGK C6603,19
370,-32,9088,AGK C6706,15
371,-34,8731,AGK C6833,13
373,-35,8828,AGK C7049,10
376,-33,9259,AGK C7121,13
378,-35,9019,AGK C7192,28
379,-32,9676,AGK C7223,24
380,-32,9676,AGK C7224,35
382,-35,9249,AGK C7402,11
383,-34,9357,AGK C7411,21
384,-34,9376,AGK C7426,20
385,-36,9128,AGK C7448,10
386,-36,9144,AGK C7461,12
387,-34,9701,AGK C7714,19
388,-36,9499,AGK C7793,13
389,-36,9576,AGK C7865,10
390,-36,9642,AGK C7918,11
393,-36,9839,AGK C8081,19
394,-36,10142,AGK C8300,25
395,-33,10826,AGK C8550,19
397,-35,10650,AGK C8591,11
398,-32,11377,AGK C8624,14
399,-32,11456,AGK C8691,10
401,-34,10911,AGK C8757,11
402,-32,11687,AGK C8817,10
403,-32,11687,AGK C8818,19
405,-34,11178,AGK C8955,17
413,-34,11626,AGK C9322,17
414,-34,11626,AGK C9323,21
417,-33,12228,AGK C9486,12
422,-32,13472,AGK C9794,11
423,-36,12064,AGK C9866,11
424,-35,12126,AGK C9867,10
425,-36,12064,AGK C9868,21
426,-35,12270,AGK C9966,11
428,-35,12476,AGK C10123,12
429,-36,13211,AGK C10565,10
430,-36,13248,AGK C10598,18
432,-35,13230,AGK C10662,10
433,-33,14136,AGK C10788,14
436,-34,13952,AGK C10966,13
437,-34,14220,AGK C11140,23
439,-34,14660,AGK C11441,44
